LakeID,Hylak_id,short_name,Name,Country,Lat_centre,Lon_centre,Sea_mask,Lake_area,Vol_total,Depth_avg,Dis_avg,Res_time,Elevation,Z_max,TR,Phase,Cover_1995_2020,annual_ave_95_10
426,228,GLWD00000426, Colville lake,Canada,67.1819,-125.9847,0,448.2,6512.58,14.5,8.989,8385.5,229,43.59156626506024,NF,Frigid,0.224,10.419292313124512
427,1149,GLWD00000427, ozero Vozhe,Russian Federation,60.7181,38.9097,0,388.23,2032.62,5.2,63.598,369.9,107,15.706823274862838,NC,Cool,0.247,14.56551768139176
430,301,GLWD00000430, Faber lake,Canada,63.8986,-117.3514,0,403.03,8866.4,22,5.994,17120.5,203,65.99806466019899,NC,Cool,0.217,12.064490923851787
432,645,GLWD00000432, lac Albanel,Canada,50.9042,-73.3097,0,406.17,7772.63,19.1,189.736,474.1,386,57.40918827092104,NC,Cool,0.248,9.656671356324168
434,1156,GLWD00000434, lake Kubenskoye,Russian Federation,59.6181,39.4958,0,427.83,2852.01,6.7,126.137,261.7,109,19.998667695112548,NC,Cool,0.264,14.475680404030133
438,273,GLWD00000438, Schultz lake,Canada,64.7708,-97.4542,0,411.08,9335.12,22.7,925.188,116.8,59,68.12630144983946,NF,Frigid,0.18,5.675605158789487
441,815,GLWD00000441, Eufaula lake,United States,35.3125,-95.5597,0,354.96,4718.6,13.3,200.28,272.7,179,39.87998647734956,NW,Warm,0.395,17.814563245188417
442,1487,GLWD00000442, Govind Ballabh Pant sagar,India,24.1319,82.8375,0,398.8,10600,26.6,232.346,528,265,79.73921765295887,TH,Hot,0.284,24.02268544916648
443,1001,GLWD00000443, lago Cardiel,Argentina,-48.9264,-71.2125,0,349.05,6357.52,18.2,3.11,23660,285,54.64134078212292,ST,Temperate,0.494,7.810818220495736
444,1447,GLWD00000444, Ngangze lake,China,31.0681,87.1764,0,389.33,3376.32,8.7,8.834,4423.6,4685,26.016387126602112,NF,Frigid,0.421,8.784671373556062
445,1562,GLWD00000445, Ziway lake,Ethiopia,8.0069,38.8181,0,411.96,5717.64,13.9,60.774,1088.9,1636,41.637343431401106,SH,Hot,0.25,21.137628451764115
448,995,GLWD00000448, lago Musters,Argentina,-45.4153,-69.1819,0,410.52,5642.34,13.7,1.214,53793.1,270,41.233118971061096,ST,Temperate,0.541,9.463523922477384
449,293,GLWD00000449, Wharton lake,Canada,64.0931,-99.8625,0,412.11,10890.38,26.4,345.629,364.7,117,79.27771711436264,NF,Frigid,0.161,8.648970202893823
454,565,GLWD00000454, Molson lake,Canada,54.2181,-96.7597,0,394.73,4434.44,11.2,21.136,2428.3,217,33.702328173688336,NC,Cool,0.228,12.741162285246851
456,1386,GLWD00000456, Wulanwula lake,China,34.8653,90.3569,0,372.84,7199.5,19.3,0,-1,4855,57.92967492758288,NF,Frigid,0.284,6.630346120787768
458,414,GLWD00000458, Bistcho lake,Canada,59.7403,-118.7319,0,411.04,4208.52,10.2,19.499,2498.1,554,30.716134682755943,NC,Cool,0.243,12.998915104857048
460,1678,GLWD00000460, Gariep dam,South Africa,-30.6903,25.6875,0,294.36,5673.8,19.3,166.072,395.4,1259,57.82511210762332,SW,Warm,0.625,17.31915206025888
461,1320,GLWD00000461, Kayrakkumskoye/Kairakum reservoir,Tajikistan,40.3153,70.1764,0,429.94,4160,9.7,494.049,97.5,345,29.02730613573987,NT,Temperate,0.486,16.058812277898994
462,1629,GLWD00000462, Itezhi Tezhi dam,Zambia,-15.7931,25.9431,0,328.54,5700,17.3,556.047,118.6,1029,52.04845680891216,SH,Hot,0.261,21.45578535
464,780,GLWD00000464, Goose lake,United States,42.0097,-120.4097,0,427.91,4831.4,11.3,0,-1,1434,33.87207590381154,NT,Temperate,0.321,14.86181781717519
465,291,GLWD00000465, Keller lake,Canada,63.9236,-121.5597,0,391.42,3127.48,8,6.082,5951.6,233,23.970262122528236,NC,Cool,0.235,11.817660243233924
467,405,GLWD00000467, lac Couture,Canada,60.1347,-75.3153,0,257.06,3274.69,12.7,118.304,320.4,135,38.217031043336185,NF,Frigid,0.133,6.304940077
471,1223,GLWD00000471, Kanivs'ke reservoir,Ukraine,49.9097,31.4875,0,470.09,2480,5.3,1515.791,18.9,87,15.826756578527515,NT,Temperate,0.347,14.452338922929655
