train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,iter_seed,ps,seed
0.9953016,0.35400152,0.018034855,0.25493512,0.027656386,0.97893894,0.7272386,0.03756385,0.573706,0.06539588,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,32,100
0.99562967,0.34141877,0.017393818,0.24249366,0.025384149,0.9821158,0.6701496,0.03461505,0.5345034,0.06036689,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,34,100
0.99682724,0.2909033,0.014820272,0.20504582,0.022023553,0.9865909,0.58027893,0.029972984,0.45122373,0.048328836,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,22,34,100
0.9956114,0.3421308,0.017430093,0.22700588,0.024144216,0.9814097,0.68324995,0.035291716,0.4966993,0.047119506,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,33,34,100
0.9968629,0.2892652,0.014736817,0.20261174,0.021071447,0.9834386,0.6448901,0.033310328,0.48797366,0.051069435,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,44,34,100
0.9967418,0.29479638,0.0150186075,0.20746736,0.021766942,0.97598916,0.776499,0.040108282,0.6046005,0.07195706,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,34,100
0.9955477,0.34460592,0.01755619,0.22388002,0.023231944,0.9832773,0.64802194,0.033472095,0.49832118,0.05489847,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,36,100
0.99447507,0.38387945,0.019557007,0.26613843,0.027422162,0.98347425,0.6441954,0.033274442,0.48027918,0.05373563,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,36,100
0.99648476,0.30620342,0.015599747,0.23053063,0.026626328,0.9815468,0.6807269,0.035161395,0.5209714,0.05715021,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,33,36,100
0.99488866,0.369231,0.01881073,0.27015078,0.027464611,0.9697152,0.8720665,0.045044605,0.6614899,0.066545844,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,44,36,100
0.9945215,0.38226324,0.019474668,0.27575743,0.030036172,0.9870823,0.5695468,0.029418642,0.42126432,0.04735622,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,66,36,100
0.99495775,0.36672658,0.018683141,0.24456605,0.026396845,0.98426294,0.62863564,0.03247074,0.48662117,0.05519134,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,11,38,100
0.99610406,0.3223566,0.016422683,0.24003465,0.025354644,0.98236924,0.665384,0.03436889,0.5236162,0.057628237,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,22,38,100
0.99477196,0.37342364,0.019024327,0.24718948,0.02803862,0.9865625,0.58089274,0.03000469,0.44495982,0.044541925,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,33,38,100
0.99553335,0.34516144,0.017584492,0.22828855,0.02510121,0.98044026,0.7008396,0.03620027,0.5205494,0.055148907,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,38,100
0.99575704,0.33640796,0.017138539,0.24237947,0.025942294,0.9741892,0.80507684,0.041584406,0.621667,0.0654398,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,38,100
0.9971352,0.2764254,0.014082685,0.20042765,0.02135629,0.98319495,0.6496163,0.033554446,0.5098526,0.053729944,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,0,40,100
0.9910123,0.40739074,0.02110833,0.294367,0.028549038,0.9714544,0.6691035,0.038371008,0.49199748,0.046519816,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,11,2,100
0.9906373,0.41580242,0.021544168,0.29843438,0.029571192,0.9663589,0.7263713,0.041655134,0.53145,0.052448064,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,22,2,100
0.9791541,0.6204354,0.032146916,0.4696342,0.044682745,0.954878,0.8412362,0.048242282,0.6229989,0.05928591,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,33,2,100
0.9789109,0.6240439,0.03233388,0.4656126,0.046614654,0.9608708,0.78338283,0.044924572,0.60021096,0.05756832,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,Feeagh,44,2,100
0.97855866,0.6292345,0.032602824,0.4756,0.048682205,0.9661397,0.7287346,0.041790664,0.5621987,0.05590327,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,Feeagh,66,2,100
