"LakeID","LakeTR","train_rmse","test_rmse","Source"
1203,"Temperate",0.8027139,1.1468822,"F"
1204,"Warm",0.59327996,0.88623375,"F"
1219,"Hot",0.545079,0.8852957,"F"
1221,"Cool",0.6993538,1.1320523,"F"
1236,"Warm",0.80681753,0.9508492,"F"
1237,"Cool",0.71146756,1.1626974,"F"
1240,"Cool",0.54578173,0.9857701,"F"
1246,"Cool",0.62877136,1.0869921,"F"
1249,"Cool",0.64361435,1.1615729,"F"
1259,"Temperate",0.52247816,0.7680662,"F"
1270,"Hot",0.66751045,1.2945619,"F"
1283,"Frigid",0.56183547,0.76401025,"F"
1286,"Cool",0.8367111,1.4247161,"F"
1294,"Cool",0.884922,1.3180001,"F"
1319,"Cool",0.8358947,1.1900263,"F"
1321,"Hot",0.816662,0.9858202,"F"
1336,"Cool",0.5531047,0.938535,"F"
1344,"Warm",0.7178111,1.1386065,"F"
1358,"Hot",0.6068991,1.2626662,"F"
1359,"Temperate",0.5846195,1.0787996,"F"
1360,"Temperate",0.7480752,0.9102147,"F"
1368,"Hot",0.69236124,0.96984226,"F"
1370,"Cool",0.7241323,1.1465706,"F"
1375,"Cool",0.65156275,1.0312485,"F"
1424,"Cool",0.926251,1.3500477,"F"
1425,"Cool",0.6174756,1.1273658,"F"
1432,"Cool",0.58010614,0.9194705,"F"
1434,"Hot",0.6032243,0.81057596,"F"
1467,"Hot",0.7374813,1.0375041,"F"
1489,"Cool",0.6115529,1.0810791,"F"
1493,"Hot",0.81563747,1.1716336,"F"
1498,"Temperate",0.5638933,0.962117,"F"
1505,"Temperate",0.6689996,1.0012128,"F"
1516,"Cool",0.8312836,1.4160836,"F"
1524,"Cool",0.8369485,1.2203948,"F"
1526,"Temperate",0.5433468,0.93185616,"F"
1529,"Warm",0.71810186,1.0432433,"F"
1547,"Cool",0.6763755,1.0590776,"F"
1567,"Hot",0.6676955,1.1843365,"F"
1573,"Frigid",0.72610813,2.1397536,"F"
1576,"Frigid",0.7411107,1.2500875,"F"
1582,"Temperate",0.8104189,1.2969447,"F"
1594,"Cool",0.7414888,1.1517996,"F"
1596,"Warm",0.60166574,0.74582833,"F"
1613,"Frigid",0.6646125,1.3496182,"F"
1616,"Hot",0.5430696,0.7639379,"F"
1618,"Temperate",0.57843584,1.2025498,"F"
1623,"Cool",0.70656216,1.0513164,"F"
1632,"Cool",0.6885866,0.9283869,"F"
1640,"Cool",0.6556456,1.3875175,"F"
1649,"Temperate",0.66274107,0.9611999,"F"
1652,"Cool",0.5119963,0.86606765,"F"
1658,"Warm",0.66948134,1.1271195,"F"
1659,"Hot",0.8193754,0.9737227,"F"
1676,"Cool",0.6311739,1.0526541,"F"
1679,"Cool",0.66800576,1.1102029,"F"
1703,"Cool",0.6672806,1.1181973,"F"
1706,"Cool",0.66845447,1.0836034,"F"
1714,"Temperate",0.73267406,1.0732843,"F"
1730,"Cool",0.65105087,1.0028579,"F"
1735,"Temperate",0.764254,1.2491597,"F"
1740,"Hot",0.9386477,1.6354544,"F"
1745,"Cool",0.71034926,1.1137236,"F"
1756,"Temperate",0.64301836,1.2097635,"F"
1787,"Cool",0.73736966,1.5149006,"F"
1790,"Frigid",0.7863727,1.2096237,"F"
1815,"Cool",0.7313801,1.1702847,"F"
1818,"Temperate",0.60717446,1.0526737,"F"
1827,"Frigid",0.643226,0.84658045,"F"
1831,"Cool",0.7697229,0.99078393,"F"
1832,"Cool",0.7777148,1.181028,"F"
1840,"Temperate",0.67480564,0.89843595,"F"
1853,"Hot",0.99327993,1.2662923,"F"
1887,"Cool",0.9623106,1.6713468,"F"
1891,"Frigid",0.7848727,1.3470782,"F"
1893,"Cool",0.61352956,1.0214342,"F"
1908,"Cool",0.74247974,1.4597604,"F"
1910,"Cool",0.6621479,1.08238,"F"
1913,"Warm",0.5936825,0.810426,"F"
1945,"Cool",0.7008453,1.1663058,"F"
1958,"Cool",0.6638615,1.2081203,"F"
1970,"Frigid",0.72414196,0.9884803,"F"
1971,"Cool",0.6255031,0.86927754,"F"
1984,"Cool",0.524832,1.009619,"F"
1997,"Cool",0.8028164,1.5043244,"F"
2021,"Cool",0.60280126,1.0895383,"F"
2027,"Cool",0.77996093,1.2419081,"F"
2032,"Warm",0.8167646,1.1685666,"F"
2054,"Cool",0.6108975,1.146182,"F"
2064,"Cool",0.75164324,1.325894,"F"
2097,"Cool",0.68598896,1.073261,"F"
2116,"Cool",0.52463686,0.8405081,"F"
2117,"Cool",0.7544897,1.3837172,"F"
2124,"Hot",0.6609226,0.7797916,"F"
2129,"Temperate",0.81080604,1.1184124,"F"
2162,"Cool",0.6841515,1.0132275,"F"
2168,"Hot",0.74615955,1.2639608,"F"
2179,"Cool",0.6165532,1.2869997,"F"
2186,"Frigid",0.45172846,0.9525265,"F"
2192,"Cool",0.7482819,1.0706015,"F"
2199,"Frigid",0.7714659,1.1998494,"F"
2202,"Frigid",0.6901799,0.961,"F"
2203,"Frigid",0.4897157,0.8769072,"F"
2228,"Temperate",0.5949278,0.8975575,"F"
2253,"Temperate",0.9283089,1.1880399,"F"
2262,"Cool",0.6679588,1.1304712,"F"
2270,"Cool",0.718905,0.9378494,"F"
2271,"Hot",0.6294187,0.6610329,"F"
2304,"Frigid",0.61445034,1.2454314,"F"
2305,"Frigid",0.66279286,1.6164691,"F"
2317,"Temperate",0.63365096,0.98944664,"F"
2323,"Cool",0.66787857,1.2899753,"F"
2326,"Cool",0.85058963,1.2682513,"F"
2330,"Cool",0.77094734,1.35429,"F"
2336,"Cool",0.68166256,1.1021241,"F"
2345,"Temperate",0.61683697,0.9733198,"F"
2351,"Cool",0.82949406,1.8095406,"F"
2358,"Cool",0.6808558,1.1100322,"F"
2364,"Warm",0.7876262,1.0754038,"F"
2367,"Cool",0.72503775,1.0194358,"F"
2368,"Cool",0.72271323,1.1466974,"F"
2395,"Hot",0.8168778,1.0763183,"F"
2415,"Frigid",0.6025399,1.0761606,"F"
2418,"Cool",0.72131944,1.7330306,"F"
2420,"Cool",0.6132805,1.146589,"F"
2425,"Cool",0.66586304,0.9246273,"F"
2436,"Cool",0.6230595,1.1629316,"F"
2447,"Cool",0.68403184,1.243791,"F"
2473,"Cool",0.64841205,1.2665852,"F"
2477,"Cool",0.6902564,1.1576753,"F"
2497,"Cool",0.83304214,1.3954155,"F"
2511,"Frigid",0.7929587,1.2789195,"F"
2516,"Temperate",0.41440412,1.0181186,"F"
2517,"Temperate",0.6550908,1.0212865,"F"
2518,"Temperate",0.5900235,0.87582517,"F"
2559,"Hot",1.0162283,1.117683,"F"
2569,"Cool",0.76194745,1.0499198,"F"
2594,"Cool",0.72626853,1.1339881,"F"
2595,"Cool",0.649189,0.9933741,"F"
2613,"Frigid",0.5471577,1.2765276,"F"
2616,"Hot",0.68245524,1.14212,"F"
2627,"Cool",0.70759195,1.1351758,"F"
2655,"Cool",0.7913556,1.3962387,"F"
2663,"Cool",0.71927303,1.5023379,"F"
2682,"Cool",0.85137933,1.3146794,"F"
2696,"Cool",0.84760344,1.1971741,"F"
2709,"Cool",0.627202,1.239041,"F"
2731,"Cool",0.6472507,1.2297473,"F"
2750,"Frigid",0.69277453,1.7661613,"F"
2798,"Cool",0.6611951,1.0294572,"F"
2799,"Warm",0.7617581,1.0373508,"F"
2803,"Temperate",0.8768404,1.3312178,"F"
2812,"Warm",0.6819017,1.0333273,"F"
2819,"Cool",0.8208316,1.194872,"F"
2881,"Cool",0.8514326,1.4857353,"F"
2898,"Warm",0.7930296,1.1132749,"F"
2926,"Cool",0.65145016,1.2979425,"F"
2927,"Warm",0.7609133,0.9633341,"F"
2940,"Cool",0.78162754,1.6691363,"F"
2944,"Cool",0.64228123,1.2251682,"F"
2946,"Cool",0.68958205,0.98932236,"F"
2955,"Cool",0.6002113,1.0009362,"F"
2978,"Temperate",0.6109644,1.0404427,"F"
2985,"Cool",0.6976046,1.081801,"F"
3097,"Cool",0.7874162,1.006529,"F"
3109,"Warm",0.58664674,0.9670504,"F"
3133,"Frigid",0.74706054,1.6565199,"F"
3135,"Cool",0.7339325,1.2109101,"F"
3188,"Cool",0.72239697,1.1195494,"F"
3200,"Warm",0.8417286,1.2648109,"F"
3211,"Frigid",0.59433407,1.2520967,"F"
3219,"Frigid",0.55680805,0.97019464,"F"
3231,"Cool",0.63742363,1.4203427,"F"
3243,"Cool",0.593579,1.15465,"F"
3281,"Cool",0.5725155,1.0747736,"F"
3307,"Warm",0.61345327,0.7913751,"F"
3365,"Cool",0.63665974,1.1082146,"F"
3379,"Cool",0.6199111,0.9590931,"F"
3394,"Cool",0.75135124,1.0230653,"F"
3397,"Temperate",0.7918105,1.2976149,"F"
3446,"Frigid",0.563949,1.7442015,"F"
3476,"Temperate",0.725201,1.224989,"F"
3478,"Warm",0.7545501,1.0712358,"F"
3500,"Cool",0.9083203,1.2545412,"F"
3570,"Cool",0.6223175,1.0984553,"F"
3587,"Cool",0.75971717,1.1912638,"F"
3614,"Hot",0.6986236,1.2283946,"F"
4292,"Temperate",0.9436178,1.444586,"F"
4503,"Temperate",0.6342281,1.0917237,"F"
5729,"Cool",0.5960538,1.1200086,"F"
6048,"Temperate",0.80102575,1.2107323,"F"
6785,"Cool",0.5463052,1.0544834,"F"
7739,"Temperate",0.64515424,1.3852533,"F"
8089,"Temperate",0.7512166,1.2260486,"F"
10161,"Temperate",0.6626144,1.1265473,"F"
100000003,"Warm",0.99968,1.1561534,"F"
200000001,"Hot",1.3892117,1.892618,"F"
300000138,"Warm",0.90369236,1.0843554,"F"
300000140,"Warm",1.4216133,1.5223927,"F"
300000223,"Frigid",0.86389303,1.6615779,"F"
300000250,"Frigid",0.63634497,1.802167,"F"
300000274,"Frigid",0.626128,1.4680755,"F"
300000311,"Frigid",0.8049609,2.0088117,"F"
300000328,"Frigid",0.9030169,1.8190576,"F"
300000337,"Frigid",0.812918,1.6739709,"F"
300000347,"Frigid",0.61742425,1.8684434,"F"
300000349,"Frigid",0.738158,1.7695597,"F"
300000428,"Cool",0.9924218,1.5497863,"F"
