"LakeID","LakeTR","annual_ave_95_10","Lon_centre","Lat_centre"
467,"F",6.30494007706311,-75.3153,60.1347
471,"T",14.4523389229297,31.4875,49.9097
472,"C",12.3026866545372,31.4347,65.1347
474,"C",14.1140358084502,-106.6264,55.4125
477,"H",26.9085950156242,-93.7431,17.1847
481,"T",10.3255832208871,-6.4153,54.5931
482,"C",12.602178465175,-99.5625,56.2764
483,"C",15.4208379040122,136.6153,52.0069
484,"H",19.8600618665958,42.3375,34.2486
486,"C",13.1763514385714,-93.3208,51.2014
488,"W",17.2907742800804,19.2931,42.1931
493,"C",13.8172925787536,-77.6903,49.8986
494,"H",23.9541526770998,-50.1014,-19.8486
495,"F",3.98956245491976,107.1458,74.1403
496,"H",24.273280304521,-48.1514,-20.1153
503,"C",11.245007735297,-97.6653,59.6264
508,"C",11.1684117880993,-110.0958,54.5542
510,"H",28.9928099110028,-43.5986,-6.7486
514,"C",9.87924918359356,-109.2125,59.8153
516,"C",13.8514437417916,-90.5569,52.7181
517,"C",11.6998962938862,-70.0736,51.7486
519,"F",8.35376403548542,-111.5597,64.9069
522,"C",13.7170587867183,36.8542,62.3875
523,"T",14.7437985074151,-111.8014,40.2042
527,"H",27.3961379062226,41.7819,11.1708
528,"H",25.5373574902846,76.2986,15.2403
529,"C",12.751723352333,-95.3819,54.9319
530,"C",13.6940352850857,26.6792,61.8375
531,"H",14.9547990800069,114.5181,30.2458
533,"C",14.5373969712671,38.7569,61.2458
534,"H",18.548774451804,-95.1458,30.7375
539,"H",14.3414133451174,116.1986,29.9375
543,"C",7.13818640288819,87.9597,31.7181
545,"C",13.2568381871572,-100.7514,54.1681
548,"F",7.95062700485416,34.4347,67.6486
549,"C",13.8677503255552,93.4903,47.6458
553,"H",24.7016945687705,-51.6042,-20.6653
555,"T",14.3493668521079,-78.7069,47.6375
556,"W",16.3716698008153,-80.2125,33.4681
557,"F",10.6047675684585,-106.2819,62.5069
558,"T",14.8572018230181,-105.9569,50.0958
562,"W",16.1906456861025,28.3236,-27.0236
566,"C",12.9911229984246,-102.2542,54.5236
567,"H",23.2847132869718,-99.2042,26.6542
568,"F",11.4817448540276,-105.5292,61.4903
569,"C",13.4790631043808,-117.5208,60.8986
570,"C",14.0861120172507,-76.8514,49.8347
571,"T",14.6648019305755,-99.6764,44.2014
573,"T",11.4585733854042,-56.6069,48.2486
576,"H",21.9782099701266,42.9097,36.6597
