"lake_id","test_rmse","Model"
713,1.0603887,"Transfer-PIDL-Frigid"
725,1.0329554,"Transfer-PIDL-Frigid"
728,1.198148,"Transfer-PIDL-Frigid"
733,0.9998442,"Transfer-PIDL-Frigid"
736,1.0338166,"Transfer-PIDL-Frigid"
744,1.0354241,"Transfer-PIDL-Frigid"
754,1.075893,"Transfer-PIDL-Frigid"
758,1.250868,"Transfer-PIDL-Frigid"
767,0.74478656,"Transfer-PIDL-Frigid"
770,0.9945962,"Transfer-PIDL-Frigid"
771,1.1905383,"Transfer-PIDL-Frigid"
779,1.0136193,"Transfer-PIDL-Frigid"
792,1.4646695,"Transfer-PIDL-Frigid"
797,1.0599704,"Transfer-PIDL-Frigid"
800,1.2505581,"Transfer-PIDL-Frigid"
804,1.2959868,"Transfer-PIDL-Frigid"
805,1.0802658,"Transfer-PIDL-Frigid"
810,1.184791,"Transfer-PIDL-Frigid"
819,0.9710729,"Transfer-PIDL-Frigid"
824,0.9066381,"Transfer-PIDL-Frigid"
825,1.234459,"Transfer-PIDL-Frigid"
827,1.0579154,"Transfer-PIDL-Frigid"
829,0.9672198,"Transfer-PIDL-Frigid"
840,1.0326319,"Transfer-PIDL-Frigid"
849,1.27567,"Transfer-PIDL-Frigid"
881,0.94823664,"Transfer-PIDL-Frigid"
883,1.0338386,"Transfer-PIDL-Frigid"
893,1.0464303,"Transfer-PIDL-Frigid"
894,1.0969207,"Transfer-PIDL-Frigid"
904,1.1061472,"Transfer-PIDL-Frigid"
905,0.9620283,"Transfer-PIDL-Frigid"
907,1.1380817,"Transfer-PIDL-Frigid"
908,1.133461,"Transfer-PIDL-Frigid"
910,1.066654,"Transfer-PIDL-Frigid"
913,0.6723358,"Transfer-PIDL-Frigid"
920,0.9958183,"Transfer-PIDL-Frigid"
924,1.2778362,"Transfer-PIDL-Frigid"
929,0.91726464,"Transfer-PIDL-Frigid"
931,1.0574067,"Transfer-PIDL-Frigid"
936,1.2570375,"Transfer-PIDL-Frigid"
945,1.004706,"Transfer-PIDL-Frigid"
949,1.1751095,"Transfer-PIDL-Frigid"
976,1.4197505,"Transfer-PIDL-Frigid"
977,1.0487576,"Transfer-PIDL-Frigid"
982,1.2611516,"Transfer-PIDL-Frigid"
1003,1.1477946,"Transfer-PIDL-Frigid"
1009,1.2114526,"Transfer-PIDL-Frigid"
1011,1.2741559,"Transfer-PIDL-Frigid"
1019,1.3567301,"Transfer-PIDL-Frigid"
1026,0.94607127,"Transfer-PIDL-Frigid"
1028,0.9319766,"Transfer-PIDL-Frigid"
1050,1.3213967,"Transfer-PIDL-Frigid"
1053,1.3927015,"Transfer-PIDL-Frigid"
1057,1.0088835,"Transfer-PIDL-Frigid"
1061,1.1321881,"Transfer-PIDL-Frigid"
1062,1.1458982,"Transfer-PIDL-Frigid"
1066,0.8418592,"Transfer-PIDL-Frigid"
1071,1.2751358,"Transfer-PIDL-Frigid"
1075,1.1103923,"Transfer-PIDL-Frigid"
1083,1.4840955,"Transfer-PIDL-Frigid"
1107,1.0717605,"Transfer-PIDL-Frigid"
1110,1.0110669,"Transfer-PIDL-Frigid"
1116,1.0650982,"Transfer-PIDL-Frigid"
1128,1.1180904,"Transfer-PIDL-Frigid"
1130,1.0573249,"Transfer-PIDL-Frigid"
1145,1.285951,"Transfer-PIDL-Frigid"
1154,1.2891446,"Transfer-PIDL-Frigid"
1169,1.1689807,"Transfer-PIDL-Frigid"
1170,0.974754,"Transfer-PIDL-Frigid"
1174,1.1114542,"Transfer-PIDL-Frigid"
1184,1.2641855,"Transfer-PIDL-Frigid"
1188,0.9134253,"Transfer-PIDL-Frigid"
1192,0.9908971,"Transfer-PIDL-Frigid"
1193,1.148198,"Transfer-PIDL-Frigid"
1195,0.8418566,"Transfer-PIDL-Frigid"
1196,0.80698776,"Transfer-PIDL-Frigid"
1199,1.038007,"Transfer-PIDL-Frigid"
1201,1.0753189,"Transfer-PIDL-Frigid"
1203,1.1468822,"Transfer-PIDL-Frigid"
1204,0.88623375,"Transfer-PIDL-Frigid"
1219,0.8852957,"Transfer-PIDL-Frigid"
1221,1.1320523,"Transfer-PIDL-Frigid"
1236,0.9508492,"Transfer-PIDL-Frigid"
1237,1.1626974,"Transfer-PIDL-Frigid"
1240,0.9857701,"Transfer-PIDL-Frigid"
1246,1.0869921,"Transfer-PIDL-Frigid"
1249,1.1615729,"Transfer-PIDL-Frigid"
1259,0.7680662,"Transfer-PIDL-Frigid"
1270,1.2945619,"Transfer-PIDL-Frigid"
1283,0.76401025,"Transfer-PIDL-Frigid"
1286,1.4247161,"Transfer-PIDL-Frigid"
1294,1.3180001,"Transfer-PIDL-Frigid"
1319,1.1900263,"Transfer-PIDL-Frigid"
1321,0.9858202,"Transfer-PIDL-Frigid"
1336,0.938535,"Transfer-PIDL-Frigid"
1344,1.1386065,"Transfer-PIDL-Frigid"
1358,1.2626662,"Transfer-PIDL-Frigid"
1359,1.0787996,"Transfer-PIDL-Frigid"
1360,0.9102147,"Transfer-PIDL-Frigid"
1368,0.96984226,"Transfer-PIDL-Frigid"
1370,1.1465706,"Transfer-PIDL-Frigid"
1375,1.0312485,"Transfer-PIDL-Frigid"
1424,1.3500477,"Transfer-PIDL-Frigid"
1425,1.1273658,"Transfer-PIDL-Frigid"
1432,0.9194705,"Transfer-PIDL-Frigid"
1434,0.81057596,"Transfer-PIDL-Frigid"
1467,1.0375041,"Transfer-PIDL-Frigid"
1489,1.0810791,"Transfer-PIDL-Frigid"
1493,1.1716336,"Transfer-PIDL-Frigid"
1498,0.962117,"Transfer-PIDL-Frigid"
1505,1.0012128,"Transfer-PIDL-Frigid"
1516,1.4160836,"Transfer-PIDL-Frigid"
1524,1.2203948,"Transfer-PIDL-Frigid"
1526,0.93185616,"Transfer-PIDL-Frigid"
1529,1.0432433,"Transfer-PIDL-Frigid"
1547,1.0590776,"Transfer-PIDL-Frigid"
1567,1.1843365,"Transfer-PIDL-Frigid"
1573,2.1397536,"Transfer-PIDL-Frigid"
1576,1.2500875,"Transfer-PIDL-Frigid"
1582,1.2969447,"Transfer-PIDL-Frigid"
1594,1.1517996,"Transfer-PIDL-Frigid"
1596,0.74582833,"Transfer-PIDL-Frigid"
1613,1.3496182,"Transfer-PIDL-Frigid"
1616,0.7639379,"Transfer-PIDL-Frigid"
1618,1.2025498,"Transfer-PIDL-Frigid"
1623,1.0513164,"Transfer-PIDL-Frigid"
1632,0.9283869,"Transfer-PIDL-Frigid"
1640,1.3875175,"Transfer-PIDL-Frigid"
1649,0.9611999,"Transfer-PIDL-Frigid"
1652,0.86606765,"Transfer-PIDL-Frigid"
