"LakeID","LakeTR","train_rmse","test_rmse","Source","Scenario"
1529,"W",0.71810186,1.0432433,"F","Cross-domain transfer"
1547,"C",0.6763755,1.0590776,"F","Cross-domain transfer"
1567,"H",0.6676955,1.1843365,"F","Cross-domain transfer"
1573,"F",0.72610813,2.1397536,"F","Intra-domain transfer"
1576,"F",0.7411107,1.2500875,"F","Intra-domain transfer"
1582,"T",0.8104189,1.2969447,"F","Cross-domain transfer"
1594,"C",0.7414888,1.1517996,"F","Cross-domain transfer"
1596,"W",0.60166574,0.74582833,"F","Cross-domain transfer"
1613,"F",0.6646125,1.3496182,"F","Intra-domain transfer"
1616,"H",0.5430696,0.7639379,"F","Cross-domain transfer"
1618,"T",0.57843584,1.2025498,"F","Cross-domain transfer"
1623,"C",0.70656216,1.0513164,"F","Cross-domain transfer"
1632,"C",0.6885866,0.9283869,"F","Cross-domain transfer"
1640,"C",0.6556456,1.3875175,"F","Cross-domain transfer"
1649,"T",0.66274107,0.9611999,"F","Cross-domain transfer"
1652,"C",0.5119963,0.86606765,"F","Cross-domain transfer"
1658,"W",0.66948134,1.1271195,"F","Cross-domain transfer"
1659,"H",0.8193754,0.9737227,"F","Cross-domain transfer"
1676,"C",0.6311739,1.0526541,"F","Cross-domain transfer"
1679,"C",0.66800576,1.1102029,"F","Cross-domain transfer"
1703,"C",0.6672806,1.1181973,"F","Cross-domain transfer"
1706,"C",0.66845447,1.0836034,"F","Cross-domain transfer"
1714,"T",0.73267406,1.0732843,"F","Cross-domain transfer"
1730,"C",0.65105087,1.0028579,"F","Cross-domain transfer"
1735,"T",0.764254,1.2491597,"F","Cross-domain transfer"
1740,"H",0.9386477,1.6354544,"F","Cross-domain transfer"
1745,"C",0.71034926,1.1137236,"F","Cross-domain transfer"
1756,"T",0.64301836,1.2097635,"F","Cross-domain transfer"
1787,"C",0.73736966,1.5149006,"F","Cross-domain transfer"
