"Observed","Predicted","Error","phase","Model","absError","lake_id","reduce_Error","Phase"
9.540842,9.677161,0.00709330509131884,"train","local-PIDL",0.136319,"WindermereSouthBasin",-0.362254,"Calibration"
9.853458,9.770989,-0.00420235959028513,"train","local-PIDL",0.0824689999999997,"WindermereSouthBasin",-0.0264400000000009,"Calibration"
9.939392,10.011968,0.00363762520782828,"train","local-PIDL",0.0725759999999998,"WindermereSouthBasin",-0.0374820000000007,"Calibration"
9.904263,9.841783,-0.0031641765469003,"train","local-PIDL",0.0624800000000008,"WindermereSouthBasin",-0.294684999999999,"Calibration"
9.746658,10.0681,0.0162223351661045,"train","local-PIDL",0.321441999999999,"WindermereSouthBasin",0.255583,"Calibration"
9.9574795,10.12853,0.00851588145253374,"train","local-PIDL",0.1710505,"WindermereSouthBasin",-0.017951,"Calibration"
10.288983,9.983516,-0.0150680784010881,"train","local-PIDL",0.305467,"WindermereSouthBasin",0.289341,"Calibration"
9.901763,9.526561,-0.0193121230562976,"train","local-PIDL",0.375202000000002,"WindermereSouthBasin",-0.032926999999999,"Calibration"
9.840558,9.271185,-0.0297917951069642,"train","local-PIDL",0.569373000000001,"WindermereSouthBasin",-0.0987859999999987,"Calibration"
9.731775,9.136437,-0.0315524250868914,"train","local-PIDL",0.595338,"WindermereSouthBasin",-0.308593,"Calibration"
9.292275,9.489621,0.0105072314014967,"train","local-PIDL",0.197346,"WindermereSouthBasin",-0.038526000000001,"Calibration"
9.301996,9.556813,0.0135118290135042,"train","local-PIDL",0.254816999999999,"WindermereSouthBasin",-0.0579620000000016,"Calibration"
9.446888,9.640741,0.0101559693487279,"train","local-PIDL",0.193853000000001,"WindermereSouthBasin",-0.106062,"Calibration"
9.690508,10.10213,0.0207967250784605,"train","local-PIDL",0.411622000000001,"WindermereSouthBasin",0.0206260000000018,"Calibration"
9.617933,10.0951395,0.0242076025167079,"train","local-PIDL",0.477206499999999,"WindermereSouthBasin",0.361556500000001,"Calibration"
9.729484,10.206218,0.0239135886178873,"train","local-PIDL",0.476734,"WindermereSouthBasin",0.371343,"Calibration"
9.862129,10.209522,0.0173076458906623,"train","local-PIDL",0.347393,"WindermereSouthBasin",0.342002000000001,"Calibration"
9.873359,10.232991,0.0178865131188886,"train","local-PIDL",0.359632,"WindermereSouthBasin",0.252306999999998,"Calibration"
9.966887,9.871302,-0.00481827360635105,"train","local-PIDL",0.0955849999999998,"WindermereSouthBasin",-0.452166,"Calibration"
10.122167,10.311368,0.00925935519618723,"train","local-PIDL",0.189201000000001,"WindermereSouthBasin",-0.279135999999999,"Calibration"
10.119958,10.312976,0.00944641437271616,"train","local-PIDL",0.193018,"WindermereSouthBasin",-0.0313549999999996,"Calibration"
9.998141,10.327826,0.0162198561172142,"train","local-PIDL",0.329685,"WindermereSouthBasin",0.288110999999999,"Calibration"
10.094387,10.381299,0.0140123248319668,"train","local-PIDL",0.286912000000001,"WindermereSouthBasin",0.176349000000002,"Calibration"
10.211208,10.42273,0.0102511742675592,"train","local-PIDL",0.211522,"WindermereSouthBasin",0.159741,"Calibration"
10.610541,10.546469,-0.00302843401360747,"train","local-PIDL",0.0640719999999995,"WindermereSouthBasin",-0.211306,"Calibration"
10.810333,10.649351,-0.00750160762701809,"train","local-PIDL",0.160982000000001,"WindermereSouthBasin",0.149038000000001,"Calibration"
11.076,10.715876,-0.0165256350884828,"train","local-PIDL",0.360124000000001,"WindermereSouthBasin",0.328063,"Calibration"
11.437875,11.292594,-0.00639145807376697,"train","local-PIDL",0.145281000000001,"WindermereSouthBasin",-0.0438169999999989,"Calibration"
12.08575,12.517382,0.017543784844656,"train","local-PIDL",0.431631999999999,"WindermereSouthBasin",0.431042999999997,"Calibration"
12.466042,12.564542,0.00393519600674666,"train","local-PIDL",0.0984999999999996,"WindermereSouthBasin",-0.120959000000001,"Calibration"
12.015333,12.171408,0.00645289601979935,"train","local-PIDL",0.156075,"WindermereSouthBasin",0.0583399999999994,"Calibration"
12.459917,12.2607975,-0.00805476586506331,"train","local-PIDL",0.1991195,"WindermereSouthBasin",0.106567499999999,"Calibration"
13.029208,13.134708,0.00403227937599816,"train","local-PIDL",0.105499999999999,"WindermereSouthBasin",-0.170797,"Calibration"
13.998959,14.400411,0.0141359500319975,"train","local-PIDL",0.401452000000001,"WindermereSouthBasin",0.0909169999999992,"Calibration"
15.005792,15.405587,0.0131462481218234,"train","local-PIDL",0.399795000000001,"WindermereSouthBasin",0.391872500000002,"Calibration"
15.69025,16.409967,0.0224209390045336,"train","local-PIDL",0.719717000000001,"WindermereSouthBasin",0.288209000000002,"Calibration"
16.409958,17.479628,0.0315633758243727,"train","local-PIDL",1.06967,"WindermereSouthBasin",0.673270000000002,"Calibration"
17.147333,16.935377,-0.00621887234069701,"train","local-PIDL",0.211956000000001,"WindermereSouthBasin",-0.29439,"Calibration"
17.126167,16.441525,-0.0203958852984731,"train","local-PIDL",0.684642,"WindermereSouthBasin",0.145179000000002,"Calibration"
16.186832,15.765339,-0.0131913892792204,"train","local-PIDL",0.421492999999998,"WindermereSouthBasin",0.327467999999996,"Calibration"
14.874792,15.348153,0.0156623059724582,"train","local-PIDL",0.473361000000001,"WindermereSouthBasin",0.0354720000000004,"Calibration"
14.441375,15.113449,0.0227399195733632,"train","local-PIDL",0.672073999999999,"WindermereSouthBasin",0.129125999999999,"Calibration"
14.577084,14.875341,0.0101267663945459,"train","local-PIDL",0.298257000000001,"WindermereSouthBasin",0.192104,"Calibration"
14.356292,14.582517,0.00781735363264693,"train","local-PIDL",0.226224999999999,"WindermereSouthBasin",0.195513,"Calibration"
14.567917,14.714458,0.0050044299268427,"train","local-PIDL",0.146541000000001,"WindermereSouthBasin",0.0729350000000011,"Calibration"
14.736667,15.130836,0.0131972486669634,"train","local-PIDL",0.394169,"WindermereSouthBasin",0.0791559999999993,"Calibration"
14.975083,15.962998,0.0319320068814303,"train","local-PIDL",0.987915000000001,"WindermereSouthBasin",0.911289000000002,"Calibration"
15.1095,15.816051,0.0228468236657509,"train","local-PIDL",0.706550999999999,"WindermereSouthBasin",0.530096,"Calibration"
15.333417,15.930348,0.0190933961767451,"train","local-PIDL",0.596931,"WindermereSouthBasin",0.470550000000001,"Calibration"
15.773125,16.740194,0.0297437990072123,"train","local-PIDL",0.967068999999999,"WindermereSouthBasin",0.672989999999999,"Calibration"
16.388042,17.667252,0.0375627100907757,"train","local-PIDL",1.27921,"WindermereSouthBasin",1.256832,"Calibration"
15.840709,17.586458,0.052225469085338,"train","local-PIDL",1.745749,"WindermereSouthBasin",1.59089,"Calibration"
15.148916,16.251814,0.0351233120812662,"train","local-PIDL",1.102898,"WindermereSouthBasin",0.749763999999999,"Calibration"
14.994125,16.13894,0.0367716895735281,"train","local-PIDL",1.144815,"WindermereSouthBasin",0.784625000000002,"Calibration"
14.990958,15.804453,0.0264161007433296,"train","local-PIDL",0.813495000000001,"WindermereSouthBasin",0.616324,"Calibration"
15.205334,15.694811,0.0158406105956116,"train","local-PIDL",0.489476999999999,"WindermereSouthBasin",0.461408,"Calibration"
15.793875,15.548912,-0.00781560024991713,"train","local-PIDL",0.244963,"WindermereSouthBasin",-0.374874,"Calibration"
16.533875,16.656216,0.00368607482969819,"train","local-PIDL",0.122341000000002,"WindermereSouthBasin",-0.209633,"Calibration"
17.670208,17.11839,-0.015862060949456,"train","local-PIDL",0.551817999999997,"WindermereSouthBasin",0.0425799999999974,"Calibration"
18.008833,17.650206,-0.0100571225131723,"train","local-PIDL",0.358626999999998,"WindermereSouthBasin",-0.296217000000002,"Calibration"
18.017666,18.14936,0.00364129447106092,"train","local-PIDL",0.131694000000003,"WindermereSouthBasin",-0.150713999999994,"Calibration"
18.559416,17.712984,-0.0233354212695213,"train","local-PIDL",0.846432,"WindermereSouthBasin",0.566914000000001,"Calibration"
18.9305,18.041819,-0.0240363992362211,"train","local-PIDL",0.888680999999998,"WindermereSouthBasin",0.626669,"Calibration"
19.322958,18.55184,-0.0203596641678713,"train","local-PIDL",0.771118000000001,"WindermereSouthBasin",0.601808000000002,"Calibration"
20.041666,19.322193,-0.0182774987051797,"train","local-PIDL",0.719473000000001,"WindermereSouthBasin",0.562565000000003,"Calibration"
20.64,20.117083,-0.0128300842049884,"train","local-PIDL",0.522917,"WindermereSouthBasin",0.366868999999998,"Calibration"
21.3035,19.756516,-0.0376761608402513,"train","local-PIDL",1.546984,"WindermereSouthBasin",1.52873,"Calibration"
21.394125,20.80905,-0.0138633025616477,"train","local-PIDL",0.585075,"WindermereSouthBasin",0.578785999999997,"Calibration"
20.257042,20.554323,0.00728427643450743,"train","local-PIDL",0.297281000000002,"WindermereSouthBasin",0.0939809999999994,"Calibration"
20.389668,20.147379,-0.00597696701660328,"train","local-PIDL",0.242289,"WindermereSouthBasin",-0.0754190000000001,"Calibration"
20.451208,20.651094,0.00486314171261217,"train","local-PIDL",0.199885999999999,"WindermereSouthBasin",0.144978999999999,"Calibration"
20.484625,20.548515,0.00155704527777224,"train","local-PIDL",0.0638899999999971,"WindermereSouthBasin",-0.273203000000002,"Calibration"
20.158083,20.37573,0.00536953061710028,"train","local-PIDL",0.217646999999999,"WindermereSouthBasin",-0.161677000000001,"Calibration"
19.940792,19.546125,-0.00999487163807183,"train","local-PIDL",0.394666999999998,"WindermereSouthBasin",-0.164047,"Calibration"
19.704,19.78219,0.00198018214159157,"train","local-PIDL",0.0781899999999993,"WindermereSouthBasin",-0.348243,"Calibration"
19.526833,19.932688,0.0102853551015405,"train","local-PIDL",0.405854999999999,"WindermereSouthBasin",0.177403999999999,"Calibration"
18.905666,19.56822,0.0172208697295482,"train","local-PIDL",0.662554,"WindermereSouthBasin",0.622108000000001,"Calibration"
18.737625,19.56941,0.0217136406495167,"train","local-PIDL",0.831785,"WindermereSouthBasin",0.717165000000001,"Calibration"
18.67825,19.589333,0.0238082255333313,"train","local-PIDL",0.911083000000001,"WindermereSouthBasin",0.671353,"Calibration"
18.806917,19.913132,0.0285695538775309,"train","local-PIDL",1.106215,"WindermereSouthBasin",0.877770000000002,"Calibration"
18.787416,19.999437,0.0312482389156057,"train","local-PIDL",1.212021,"WindermereSouthBasin",0.773077000000001,"Calibration"
18.479958,18.360643,-0.00323866035277608,"train","local-PIDL",0.119315,"WindermereSouthBasin",0.0321260000000017,"Calibration"
18.07525,18.206493,0.00361732203565719,"train","local-PIDL",0.131242999999998,"WindermereSouthBasin",0.0923309999999979,"Calibration"
17.933958,18.239622,0.00844992563816564,"train","local-PIDL",0.305664,"WindermereSouthBasin",-0.254953999999998,"Calibration"
17.912416,18.344614,0.0119203797165635,"train","local-PIDL",0.432198,"WindermereSouthBasin",-0.00586300000000151,"Calibration"
17.752083,17.987654,0.0065912883050222,"train","local-PIDL",0.235571,"WindermereSouthBasin",-0.314928000000002,"Calibration"
17.416542,17.809137,0.0111451446175551,"train","local-PIDL",0.392595,"WindermereSouthBasin",0.0686509999999991,"Calibration"
