"model","rmse","nse","r","bias","mae","nmae","phase","LakeID","exper"
"GLM",0.80182176431303,0.971571928847844,0.987466062049456,-0.23101386657128,0.611939243601458,0.0314846744182003,"vali","exper2_39","exper2"
"GLM",1.98559433782265,0.89833921009955,0.951866826928015,0.229165976980049,1.60147720176907,0.287849809849484,"cali","exper2_40","exper2"
"GLM",2.36698514783657,0.842646599726492,0.933254134048105,-0.755965189307707,1.84785224055824,0.214342938082795,"vali","exper2_40","exper2"
"GLM",1.1214723841087,0.926798359964478,0.96669126620605,0.00497680216763927,0.78936558487141,0.0444932475901497,"cali","exper2_41","exper2"
"GLM",1.10867158081688,0.92343657683928,0.967442056918179,-0.31061366693863,0.897910449678535,0.0460885909833252,"vali","exper2_41","exper2"
"GLM",2.33046822281286,0.899033684425148,0.966708806119987,-0.910002683914752,1.94462972963952,0.321189817784823,"cali","exper2_42","exper2"
"GLM",3.19517061230646,0.822899809924423,0.989449090172375,-2.80920690933731,2.82458570396112,0.363047439612631,"vali","exper2_42","exper2"
"GLM",1.55415520823917,0.935682371140688,0.985584140032389,-0.0441741917159531,1.27968117168971,0.0657298079541429,"cali","exper2_43","exper2"
"GLM",1.78090052513451,0.809322936106016,0.988502323587581,-0.358217905375583,1.55163033146504,0.0905764115481636,"vali","exper2_43","exper2"
"GLM",2.05788805708163,0.932248485355531,0.976288165458427,-0.575571447682896,1.67235940076362,0.285153026554063,"cali","exper2_44","exper2"
"GLM",2.1059996840755,0.924681612249297,0.979972474645858,0.2695421658373,1.66649426013626,0.24720146794464,"vali","exper2_44","exper2"
"GLM",1.12963233570046,0.97515088666301,0.989421132307367,-0.27848550220206,0.811809935619427,0.595580245494256,"cali","exper2_45","exper2"
"GLM",0.991705393332376,0.981703679391486,0.992279133312481,-0.286649548506187,0.778779605811476,0.554640936647439,"vali","exper2_45","exper2"
"GLM",1.09971591177194,0.91450499268828,0.982712053571845,-0.801141152881977,0.896303371277306,0.0612619587815305,"cali","exper2_46","exper2"
"GLM",1.01595945530528,0.918938814127043,0.97366848121943,-0.552365884960424,0.808417469164066,0.0498491687174102,"vali","exper2_46","exper2"
"GLM",1.57412053539749,0.889415147244432,0.951467159684826,0.31753921462094,1.14550937058805,0.120340912968924,"cali","exper2_47","exper2"
"GLM",1.7085479840919,0.87477161614479,0.949454539725029,0.620361946715077,1.26825728987317,0.115754190618353,"vali","exper2_47","exper2"
